company,item,calories,calories_from_fat,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,weight_watchers_pnts,serving_size_g,all_nutrients_zero,macro_calories,macro_calorie_gap,pct_protein_cal,pct_carb_cal,pct_fat_cal,protein_g_per_100kcal,carbs_g_per_100kcal,total_fat_g_per_100kcal,fiber_g_per_100kcal,sodium_mg_per_100kcal,healthy_rule_v1,category
McDonald’s,Honey,50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,61.0,,0,48.0,2.0,0.0,100.0,0.0,0.0,24.0,0.0,0.0,0.0,1,other
McDonald’s,Hot Mustard Sauce,60.0,20.0,2.5,0.0,0.0,5.0,250.0,9.0,2.0,6.0,1.0,65.0,,0,62.5,-2.5,6.4,57.6,36.0,1.667,15.0,4.167,3.333,416.667,1,other
McDonald’s,Sweet ‘N Sour Sauce,50.0,0.0,0.0,0.0,0.0,0.0,150.0,12.0,0.0,10.0,0.0,60.0,,0,48.0,2.0,0.0,100.0,0.0,0.0,24.0,0.0,0.0,300.0,1,other
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.0,210.0,24.0,3.5,0.0,50.0,1010.0,23.0,0.0,0.0,23.0,380.5,,0,400.0,0.0,23.0,23.0,54.0,5.75,5.75,6.0,0.0,252.5,0,chicken
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.0,360.0,40.0,6.0,0.0,85.0,1680.0,39.0,0.0,0.0,38.0,628.0,,0,668.0,-8.0,22.75,23.35,53.89,5.758,5.909,6.061,0.0,254.545,0,chicken
McDonald’s,Spicy Buffalo Sauce,60.0,50.0,6.0,1.0,0.0,0.0,800.0,1.0,1.0,0.0,0.0,61.0,,0,58.0,2.0,0.0,6.9,93.1,0.0,1.667,10.0,1.667,1333.333,0,other
McDonald’s,Creamy Ranch Sauce,170.0,160.0,18.0,3.0,0.0,10.0,270.0,2.0,0.0,1.0,0.0,174.0,,0,170.0,0.0,0.0,4.71,95.29,0.0,1.176,10.588,0.0,158.824,1,other
McDonald’s,Tangy Honey Mustard Sauce,60.0,20.0,2.0,0.0,0.0,5.0,140.0,10.0,0.0,8.0,0.0,68.0,,0,58.0,2.0,0.0,68.97,31.03,0.0,16.667,3.333,0.0,233.333,1,other
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0.0,0.0,0.0,0.0,0.0,210.0,15.0,1.0,11.0,0.0,71.0,,0,60.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,1.667,350.0,1,other
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,80.0,9.0,3.0,0.0,70.0,960.0,30.0,6.0,11.0,30.0,304.0,,0,321.0,-1.0,37.38,37.38,25.23,9.375,9.375,2.812,1.875,300.0,0,salad
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,180.0,20.0,4.0,0.0,55.0,920.0,38.0,6.0,12.0,26.0,420.0,,0,436.0,-6.0,23.85,34.86,41.28,6.047,8.837,4.651,1.395,213.953,0,salad
McDonald’s,Premium Southwest Salad (without chicken),140.0,40.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0,142.0,,0,144.5,-4.5,16.61,55.36,28.03,4.286,14.286,3.214,4.286,107.143,1,salad
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,90.0,9.0,4.0,0.0,90.0,1010.0,12.0,3.0,5.0,33.0,236.0,,0,261.0,-1.0,50.57,18.39,31.03,12.692,4.615,3.462,1.154,388.462,0,salad
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,180.0,20.0,6.0,0.0,75.0,970.0,20.0,3.0,6.0,29.0,353.0,,0,376.0,-6.0,30.85,21.28,47.87,7.838,5.405,5.405,0.811,262.162,0,salad
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,70.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0,138.5,,0,139.0,1.0,25.9,28.78,45.32,6.429,7.143,5.0,2.143,214.286,1,salad
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,60.0,6.0,3.0,0.0,75.0,890.0,12.0,3.0,5.0,30.0,198.0,,0,222.0,-2.0,54.05,21.62,24.32,13.636,5.455,2.727,1.364,404.545,0,salad
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,150.0,17.0,4.5,0.0,60.0,840.0,20.0,3.0,6.0,26.0,314.5,,0,337.0,-7.0,30.86,23.74,45.4,7.879,6.061,5.152,0.909,254.545,0,salad
McDonald’s,Premium Caesar Salad (without chicken),90.0,35.0,4.0,2.5,0.0,10.0,180.0,9.0,3.0,4.0,7.0,89.5,,0,100.0,-10.0,28.0,36.0,36.0,7.778,10.0,4.444,3.333,200.0,1,salad
McDonald’s,Side Salad,20.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,21.0,,0,20.0,0.0,20.0,80.0,0.0,5.0,20.0,0.0,5.0,50.0,1,salad
McDonald’s,Butter Garlic Croutons,60.0,15.0,1.5,0.0,0.0,0.0,140.0,10.0,1.0,0.0,2.0,58.0,,0,61.5,-1.5,13.01,65.04,21.95,3.333,16.667,2.5,1.667,233.333,1,other
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,70.0,8.0,1.5,0.0,5.0,60.0,31.0,2.0,25.0,4.0,232.5,,0,212.0,-2.0,7.55,58.49,33.96,1.905,14.762,3.81,0.952,28.571,1,salad
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,50.0,6.0,1.0,0.0,20.0,340.0,11.0,0.0,3.0,1.0,103.0,,0,102.0,-2.0,3.92,43.14,52.94,1.0,11.0,6.0,0.0,340.0,1,other
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,170.0,18.0,3.5,0.0,20.0,500.0,4.0,0.0,2.0,2.0,193.5,,0,186.0,4.0,4.3,8.6,87.1,1.053,2.105,9.474,0.0,263.158,1,other
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,25.0,3.0,0.0,0.0,0.0,730.0,4.0,0.0,3.0,0.0,43.0,,0,43.0,-3.0,0.0,37.21,62.79,0.0,10.0,7.5,0.0,1825.0,0,other
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,20.0,2.5,0.0,0.0,0.0,730.0,8.0,0.0,1.0,1.0,60.0,,0,58.5,1.5,6.84,54.7,38.46,1.667,13.333,4.167,0.0,1216.667,0,other
McDonald’s,Newman’s Own® Ranch Dressing,170.0,130.0,15.0,2.5,0.0,20.0,530.0,9.0,0.0,4.0,1.0,175.5,,0,175.0,-5.0,2.29,20.57,77.14,0.588,5.294,8.824,0.0,311.765,1,other
McDonald’s,Egg McMuffin®,300.0,110.0,12.0,5.0,0.0,260.0,820.0,30.0,2.0,3.0,18.0,290.0,,0,300.0,0.0,24.0,40.0,36.0,6.0,10.0,4.0,0.667,273.333,0,other
McDonald’s,Sausage McMuffin®,370.0,200.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0,366.0,,0,370.0,0.0,15.14,31.35,53.51,3.784,7.838,5.946,0.541,229.73,0,other
McDonald’s,Sausage McMuffin® with Egg,450.0,250.0,27.0,10.0,0.0,285.0,920.0,30.0,2.0,2.0,21.0,441.0,,0,447.0,3.0,18.79,26.85,54.36,4.667,6.667,6.0,0.444,204.444,0,other
McDonald’s,English Muffin,160.0,30.0,3.0,0.5,0.0,0.0,280.0,27.0,2.0,2.0,5.0,157.5,,0,155.0,5.0,12.9,69.68,17.42,3.125,16.875,1.875,1.25,175.0,1,other
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,210.0,23.0,12.0,0.0,235.0,1160.0,37.0,2.0,3.0,15.0,420.0,,0,415.0,5.0,14.46,35.66,49.88,3.571,8.81,5.476,0.476,276.19,0,other
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,240.0,27.0,12.0,0.0,235.0,1270.0,43.0,3.0,4.0,15.0,481.0,,0,475.0,5.0,12.63,36.21,51.16,3.125,8.958,5.625,0.625,264.583,0,other
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,290.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0,508.0,,0,513.0,-3.0,14.04,28.07,57.89,3.529,7.059,6.471,0.392,229.412,0,other
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,330.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0,570.0,,0,573.0,-3.0,12.57,29.32,58.12,3.158,7.368,6.491,0.526,224.561,0,other
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,240.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,433.0,,0,423.0,7.0,10.4,32.15,57.45,2.558,7.907,6.279,0.465,251.163,0,other
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,280.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0,485.0,,0,479.0,1.0,9.19,32.57,58.25,2.292,8.125,6.458,0.625,247.917,0,other
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,180.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0,404.0,,0,412.0,-2.0,16.5,39.81,43.69,4.146,10.0,4.878,0.488,287.805,0,chicken
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,220.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0,466.0,,0,468.0,2.0,14.53,39.32,46.15,3.617,9.787,5.106,0.638,274.468,0,chicken
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,300.0,33.0,12.0,1.0,300.0,1580.0,56.0,3.0,7.0,33.0,646.0,,0,653.0,7.0,20.21,34.3,45.48,5.0,8.485,5.0,0.455,239.394,0,beverage
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,160.0,18.0,8.0,0.0,240.0,1110.0,48.0,2.0,15.0,15.0,428.0,,0,414.0,6.0,14.49,46.38,39.13,3.571,11.429,4.286,0.476,264.286,0,other
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.0,290.0,32.0,12.0,0.0,265.0,1360.0,48.0,2.0,15.0,20.0,567.0,,0,560.0,0.0,14.29,34.29,51.43,3.571,8.571,5.714,0.357,242.857,0,other
McDonald’s,Sausage McGriddles®,420.0,200.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,432.0,,0,418.0,2.0,10.53,42.11,47.37,2.619,10.476,5.238,0.476,245.238,0,other
